id,topic,argument,source_title,source_url
62,We should increase government regulation,In the 1990s Hans Monderman's studies of driver behavior led him to the realization that signs and regulations had an adverse effect on a driver's ability to interact safely with other road users.,Traffic collision,https://en.wikipedia.org/wiki/Traffic_collision
63,We should increase government regulation,Political analyst Cherian George noted that the regulation would hinder the development of citizen journalism in Singapore [REF].,"Singaporean general election, 2006","https://en.wikipedia.org/wiki/Singaporean_general_election,_2006"
64,We should increase government regulation,"The regulated expression of H19, from biallelic to monoallelic, throughout embryonic development suggests that regulation is essential for the growth of embryonic and extraembryonic tissues [REF].",H19 (gene),https://en.wikipedia.org/wiki/H19_(gene)
65,We should increase government regulation,"Governor Romney supported regulation of greenhouse gas emissions, primarily through voluntary measures[REF] He issued a 72-point Climate Protection Plan in May 2004 [REF].",Governorship of Mitt Romney,https://en.wikipedia.org/wiki/Governorship_of_Mitt_Romney
66,We should increase government regulation,"Sullivan is a vocal critic of the Environmental Protection Agency, claiming that regulations being pushed by the Obama Administration are harmful to the U.S. economy.",John Sullivan (Oklahoma),https://en.wikipedia.org/wiki/John_Sullivan_(Oklahoma)
67,We should increase government regulation,"And like most industries with pollution problems, chemical manufacturers oppose meddlesome government regulations that make it more difficult and expensive for them to do business.",California Green Chemistry Initiative,https://en.wikipedia.org/wiki/California_Green_Chemistry_Initiative
68,We should increase government regulation,"In an April 14, 2005 speech before the U.S. House of Representatives, Paul stated, ""These regulations are damaging American capital markets by providing an incentive for small US firms and foreign firms to deregister from US stock exchanges.",Sarbanes–Oxley Act,https://en.wikipedia.org/wiki/Sarbanes–Oxley_Act
69,We should increase government regulation,"The Party also supports the abolition of the Bank of Canada, arguing that government regulation of currency and credit is harmful to the economy.",Libertarian Party of Canada,https://en.wikipedia.org/wiki/Libertarian_Party_of_Canada
70,We should increase government regulation,"Genachowski said regulations would ""support policies that advance our global competitiveness and preserve the Internet as a powerful platform for innovation.""[REF] .",National Broadband Plan (United States),https://en.wikipedia.org/wiki/National_Broadband_Plan_(United_States)
71,We should increase government regulation,De Soto and his team argue that excessive regulation in the Peruvian (and other Latin American) economies force a large part of the economy into informality and thus prevent economic development.,Informal sector,https://en.wikipedia.org/wiki/Informal_sector
72,We should increase government regulation,"In 2004, conservative think tank Cato Institute published a study which concluded that regulation provides benefits in the amount of $170 billion but costs the public up to $340 billion [REF].",Health care in the United States,https://en.wikipedia.org/wiki/Health_care_in_the_United_States
73,We should increase government regulation,"Harris Miller, president of the Information Technology Association of America, believes that regulation inhibits innovation.",Cyber-security regulation,https://en.wikipedia.org/wiki/Cyber-security_regulation
74,We should increase government regulation,"In The Rise and Decline of Nations, 1982, Mancur Olson argues that ""bureaucratic regulation itself generates further complexity and costs.","Complexity, Problem Solving, and Sustainable Societies","https://en.wikipedia.org/wiki/Complexity,_Problem_Solving,_and_Sustainable_Societies"
75,We should increase government regulation,Barack Obama has argued that current loopholes in CFTC regulations have contributed to skyrocketing prices and lack of transparency of oil on markets [REF].,Commodity Futures Trading Commission,https://en.wikipedia.org/wiki/Commodity_Futures_Trading_Commission
76,We should increase government regulation,"Berg has voted to curtail EPA regulations, stating: ""In North Dakota, we know the damaging effects that overreaching government regulations can have on our small businesses and their ability to create jobs.""[REF]",Rick Berg,https://en.wikipedia.org/wiki/Rick_Berg
77,We should increase government regulation,Bruce Schneier also supports regulation that encourages software companies to write more secure code through economic incentives.,Cyber-security regulation,https://en.wikipedia.org/wiki/Cyber-security_regulation
78,We should subsidize adoptions,"As founder, leader and principal spokesperson for the CDF, Mrs. Edelman worked to persuade Congress to overhaul foster care, support adoption, improve child care and protect children who are disabled, homeless, abused or neglected.",Marian Wright Edelman,https://en.wikipedia.org/wiki/Marian_Wright_Edelman
79,We should subsidize adoptions,"As such, The United Methodist Church encourages society to support and facilitate the option of adoption and also provide nurturing ministries to those who have terminated a pregnancy [REF].",United Methodist Church,https://en.wikipedia.org/wiki/United_Methodist_Church
80,We should fight illegal immigration,"Military investigations showed that illegal immigration was related to increasing rates of prostitution, gambling, money laundering, and illegal fishing.",Chinese in Fiji,https://en.wikipedia.org/wiki/Chinese_in_Fiji
81,We should fight illegal immigration,"Lipman asserts that ""undocumented immigrants actually contribute more to public coffers in taxes than they cost in social services"" and ""contribute to the U.S. economy through their investments and consumption of goods and services; filling of millions of essential worker positions resulting in subsidiary job creation, increased productivity and lower costs of goods and services; and unrequited contributions to Social Security, Medicare and unemployment insurance programs.""[REF] .",Economic impact of illegal immigrants in the United States,https://en.wikipedia.org/wiki/Economic_impact_of_illegal_immigrants_in_the_United_States
82,We should fight illegal immigration,"Jenkins has denounced ""unchecked illegal immigration"" that ""is wreaking havoc on our economic, legal, and national security interests.""[REF]",Lynn Jenkins,https://en.wikipedia.org/wiki/Lynn_Jenkins
83,We should fight illegal immigration,"McCrory argued that illegal immigration has brought gang activity to the state, and was straining the resources of public schools and services [REF].",Pat McCrory,https://en.wikipedia.org/wiki/Pat_McCrory
84,We should fight illegal immigration,"Around 2005, an increasing number of banks saw illegal immigrants as an untapped resource for growing their own revenue stream and contended that providing illegal aliens with mortgages would help revitalize local communities, with many community banks providing home loans for illegal immigrants [REF].",Illegal immigration to the United States,https://en.wikipedia.org/wiki/Illegal_immigration_to_the_United_States
85,We should fight illegal immigration,"TCC opposes illegal immigration and legislation characterized by TCC as an amnesty for illegal immigrants, such as S. 2611.",The Conservative Caucus,https://en.wikipedia.org/wiki/The_Conservative_Caucus
86,We should fight illegal immigration,A paper in the peer reviewed Tax Lawyer journal from the American Bar Association asserts that illegal immigrants contribute more in taxes than they cost in social services [REF].,Illegal immigration to the United States,https://en.wikipedia.org/wiki/Illegal_immigration_to_the_United_States
87,We should fight illegal immigration,"In 2007, the Board of Regents that makes policy for Georgia state universities instituted a rule that illegal immigrants could not receive in-state tuition [REF].",Jessica Colotl controversy,https://en.wikipedia.org/wiki/Jessica_Colotl_controversy
88,We should fight illegal immigration,"Tancredo said he intended to visit New Hampshire and Iowa, declaring Bush should ""[understand] the threat illegal immigrants pose to the country's security.""",Tom Tancredo,https://en.wikipedia.org/wiki/Tom_Tancredo
89,We should fight illegal immigration,"In a CBS News/New York Times poll, 69% of Americans favor prosecuting and deporting illegal immigrants; 33% favor deporting those who have lived and worked in the U.S. for at least two years [REF].",Illegal immigration to the United States,https://en.wikipedia.org/wiki/Illegal_immigration_to_the_United_States
90,We should fight illegal immigration,"Craig, the principal sponsor of AgJOBS, continues to support amnesty for illegal immigrants who are ""trusted workers with a significant work history in American agriculture.""[REF]",Larry Craig,https://en.wikipedia.org/wiki/Larry_Craig
91,We should fight illegal immigration,"George J. Borjas, an economist at Harvard University, has argued that illegal immigration may reduce the economic status of U.S. poor while benefiting middle class individuals and wealthier Americans [REF].",Illegal immigration to the United States,https://en.wikipedia.org/wiki/Illegal_immigration_to_the_United_States
92,We should fight illegal immigration,"Professor of Law Francine Lipman [REF] writes that the belief that illegal migrants are exploiting the US economy and that they cost more in services than they contribute to the economy is ""undeniably false"".",Economic impact of illegal immigrants in the United States,https://en.wikipedia.org/wiki/Economic_impact_of_illegal_immigrants_in_the_United_States
93,We should fight illegal immigration,"The Federation for American Immigration Reform (FAIR) has stated, ""the criminal alien program is growing,"" ""continued illegal immigration aggravates the problem"" of the United States' detention system, and has called for ""greater INS and local government cooperation to identify criminal aliens, additional detention facilities for those in deportation proceedings.""[REF]",Immigration detention in the United States,https://en.wikipedia.org/wiki/Immigration_detention_in_the_United_States
94,We should fight illegal immigration,JCUA supports legislation that would provide illegal immigrants with an avenue to achieve citizenship and advocates a ban on deportations [REF].,Jewish Council on Urban Affairs,https://en.wikipedia.org/wiki/Jewish_Council_on_Urban_Affairs
95,We should fight illegal immigration,"In a late 1980s study, economists overwhelmingly viewed immigration, including illegal immigration, as a positive for the economy [REF].",Immigration to the United States,https://en.wikipedia.org/wiki/Immigration_to_the_United_States
96,We should fight illegal immigration,UCLA research indicates illegal immigrants produce $150 billion of economic activity equivalent to spending stimulus every year.,Causes of the late-2000s recession,https://en.wikipedia.org/wiki/Causes_of_the_late-2000s_recession
97,We should fight illegal immigration,"In 2007, President George W. Bush called for Congress to endorse his guest worker proposal, stating that illegal immigrants took jobs that Americans would not take [REF].",Illegal immigration,https://en.wikipedia.org/wiki/Illegal_immigration
98,We should fight illegal immigration,"As a member of the Assembly, Jones has expressed strong support for the Second Amendment[REF], opposition to illegal immigration[REF], and a desire to see reforms aimed at curtailing the influence of public-sector labor unions.",Brian Jones (California politician),https://en.wikipedia.org/wiki/Brian_Jones_(California_politician)
99,We should fight illegal immigration,Bauer supports enforcing all laws against illegal immigration and that all immigrants should learn English and U.S. traditions [REF].,Gary Bauer,https://en.wikipedia.org/wiki/Gary_Bauer
100,We should fight illegal immigration,"National Public Radio (NPR) reported in March 2006 that: ""..overall, illegal immigrants don't have a big impact on U.S. wage rates.",Economic impact of illegal immigrants in the United States,https://en.wikipedia.org/wiki/Economic_impact_of_illegal_immigrants_in_the_United_States
101,We should fight illegal immigration,"By 1993, Californians passed Proposition 187, denying benefits to illegal immigrants and criminalizing illegal immigrants in possession of forged green cards, I.D. cards and Social Security Numbers.",United States Border Patrol,https://en.wikipedia.org/wiki/United_States_Border_Patrol
102,We should fight illegal immigration,"The conservative Heritage Foundation speculates that illegal immigration increases job competition among low wage earners, both native and foreign born.",Poverty in the United States,https://en.wikipedia.org/wiki/Poverty_in_the_United_States
103,We should fight illegal immigration,One survey conducted in the 1980s found that 76 percent of economists felt recent illegal immigration had a positive effect on the economy [REF].,Economic impact of illegal immigrants in the United States,https://en.wikipedia.org/wiki/Economic_impact_of_illegal_immigrants_in_the_United_States
104,We should fight illegal immigration,"The Israeli economic commentator Nehemiah Shtrasler estimated that the illegal immigrants take the places of weaker manual workers, causing loss of jobs and a reduction in the wages.",Illegal immigration from Africa to Israel,https://en.wikipedia.org/wiki/Illegal_immigration_from_Africa_to_Israel
105,We should fight gender inequality,Empowering women's reproductive health ultimately advocates for eliminating gender inequalities.,Population and Community Development Association,https://en.wikipedia.org/wiki/Population_and_Community_Development_Association
106,We should fight gender inequality,The Gender-related Development Index (GDI) and the Gender Empowerment Measure (GEM) were introduced in the 1995 Human Development Report with growing international recognition of the importance of eliminating gender inequality.,Gender Inequality Index,https://en.wikipedia.org/wiki/Gender_Inequality_Index
107,We should fight gender inequality,"Gender imbalance may result in the threat of social unrest, especially in the case of an excess of low-status young males unable to find spouses,[REF] and being recruited into the service of militaristic political factions.",Human sex ratio,https://en.wikipedia.org/wiki/Human_sex_ratio
108,We should fight gender inequality,"Contrary to these views, the Stoic philosophers argued for equality of the sexes, sexual inequality being in their view contrary to the laws of nature [REF].",Women's rights,https://en.wikipedia.org/wiki/Women's_rights
109,We should fight gender inequality,"In 2007 the United Nations Economic and Social Council (ECOSOC) reaffirmed its commitment to eliminating gender inequalities by requesting the Institute to strengthen its research and training activities in accordance with its mandates and its Strategic Framework 2008-2011, which strengthens the Institute's commitment to act as a catalyst for action on gender - promoting applied research, facilitating information-sharing, and supporting capacity-building.",United Nations International Research and Training Institute for the Advancement of Women,https://en.wikipedia.org/wiki/United_Nations_International_Research_and_Training_Institute_for_the_Advancement_of_Women
110,We should fight gender inequality,"Evidence shows strong relationships between levels of violence and potentially modifiable factors such as concentrated poverty, income and gender inequality, the harmful use of alcohol, and the absence of safe, stable, and nurturing relationships between children and parents.",Violence,https://en.wikipedia.org/wiki/Violence
111,We should fight gender inequality,PRRM also wishes to promote gender inequality and this would be shown in the projects done by PRRM.,Philippine Rural Reconstruction Movement,https://en.wikipedia.org/wiki/Philippine_Rural_Reconstruction_Movement
112,We should fight gender inequality,"GBS's women's empowerment programme attempts to reduce gender inequality and improve the lifestyles of rural, impoverished women in Rajasthan.",Gram Bharati Samiti,https://en.wikipedia.org/wiki/Gram_Bharati_Samiti
113,We should fight gender inequality,2010 - Jessica Posner - Co-founded Shining Hope for Communities to combat gender inequality and poverty in Kibera.,Do Something,https://en.wikipedia.org/wiki/Do_Something
114,We should fight gender inequality,"The contribution of UNFPA to the global response to AIDS is shaped by its mandate to reduce poverty, eliminate gender inequality and ensure universal access to sexual and reproductive health.",United Nations Population Fund,https://en.wikipedia.org/wiki/United_Nations_Population_Fund
115,We should fight gender inequality,"Brockman has argued that gender equality is developing only slowly within the field of law, and that more can be done to eliminate gender inequality in this area.",Joan Brockman,https://en.wikipedia.org/wiki/Joan_Brockman
116,We should abandon coal mining,The Anvil Hill Alliance includes community and environment groups in NSW opposed to the expansion of coal mines in his high conservation value region.,Climate change in Australia,https://en.wikipedia.org/wiki/Climate_change_in_Australia
117,We should abandon coal mining,"Hansen said that mountaintop removal for coal mining ""[provides] only a small fraction of our energy"" and ""should be abolished.""[REF]",James Hansen,https://en.wikipedia.org/wiki/James_Hansen
118,We should abandon coal mining,"In 1988 the International Joint Commission, ruled that a proposed open pit coal mine would violate the 1909 Boundary Waters Treaty.",Flathead River,https://en.wikipedia.org/wiki/Flathead_River
119,We should abandon coal mining,"The West Virginia Office of Miners' Health, Safety and Training stated that West Virginia coal mines were safe following the tremors [REF].",2011 Virginia earthquake,https://en.wikipedia.org/wiki/2011_Virginia_earthquake
120,We should abandon coal mining,A report compiled by the Lanzhou University in 2006 warned that the felling of the forests around Zhouqu for coal mining and agriculture would cause heavy soil erosion and destabilise hillsides.,Global storm activity of mid 2010,https://en.wikipedia.org/wiki/Global_storm_activity_of_mid_2010
121,We should abandon coal mining,The Wyoming Mining Association (WMA) reports that the coal mining industry alone contributed over $1.15 billion to the state and local governments in 2009 [REF].,Environmental Issues in Wyoming,https://en.wikipedia.org/wiki/Environmental_Issues_in_Wyoming
122,We should abandon coal mining,Federal energy policies continue to support the coal mining and natural gas industries through subsidies for fossil fuel use and production as the exports by those industries contribute significantly to the earnings of foreign exchange and government revenues.,Energy policy of Australia,https://en.wikipedia.org/wiki/Energy_policy_of_Australia
123,We should abandon coal mining,The development of the Brooketon Colliery coal mine also lead to transport and infrastructure development at Muara.,"Muara, Brunei","https://en.wikipedia.org/wiki/Muara,_Brunei"
